"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Romanian Deadlift (Barbell)",,"",2,"normal",68.04,10,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Leg Press (Machine)",,"",0,"normal",107.96,12,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Leg Press (Machine)",,"",1,"normal",112.49,12,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Leg Press (Machine)",,"",2,"normal",112.49,12,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Seated Leg Curl (Machine)",,"",0,"normal",54.43,15,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Seated Leg Curl (Machine)",,"",1,"normal",54.43,15,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Seated Leg Curl (Machine)",,"",2,"normal",54.43,13,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Seated Calf Raise",,"",0,"normal",47.63,15,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Seated Calf Raise",,"",1,"normal",47.63,15,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Seated Calf Raise",,"",2,"normal",49.9,15,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Seated Calf Raise",,"",3,"normal",47.63,15,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Pull Up (Assisted)",,"",0,"normal",27.22,8,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Pull Up (Assisted)",,"",1,"normal",27.22,8,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Pull Up (Assisted)",,"",2,"normal",22.68,5,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Lat Pulldown (Cable)",,"",0,"normal",47.63,10,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Lat Pulldown (Cable)",,"",1,"normal",47.63,9,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Lat Pulldown (Cable)",,"",2,"normal",47.63,8,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",49.9,10,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",49.9,10,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",49.9,10,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Seated Row (Machine)",,"",0,"normal",54.43,12,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Seated Row (Machine)",,"",1,"normal",54.43,12,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Seated Row (Machine)",,"",2,"normal",54.43,12,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",36.29,20,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",36.29,14,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Rear Delt Reverse Fly (Machine)",,"",2,"normal",36.29,12,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Bicep Curl (Dumbbell)",,"",0,"normal",22.68,6,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Bicep Curl (Dumbbell)",,"",1,"normal",22.68,6,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Bicep Curl (Dumbbell)",,"",2,"normal",22.68,7,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Hammer Curl (Cable)",,"",0,"normal",31.75,10,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Hammer Curl (Cable)",,"",1,"normal",31.75,9,,,
"Pull (2026)","16 Mar 2026, 12:45","16 Mar 2026, 13:57","","Hammer Curl (Cable)",,"",2,"normal",29.48,10,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Bench Press (Smith Machine)",,"",0,"normal",52.16,7,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Bench Press (Smith Machine)",,"",1,"normal",47.63,7,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Bench Press (Smith Machine)",,"",2,"normal",47.63,7,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Bench Press (Smith Machine)",,"",3,"normal",49.9,5,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Incline Bench Press (Dumbbell)",,"",0,"normal",36.29,10,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Incline Bench Press (Dumbbell)",,"",1,"normal",36.29,9,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Incline Bench Press (Dumbbell)",,"",2,"normal",36.29,8,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Overhead Press (Barbell)",,"",0,"normal",34.02,6,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Overhead Press (Barbell)",,"",1,"normal",34.02,7,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Overhead Press (Barbell)",,"",2,"normal",34.02,4,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Lateral Raise (Dumbbell)",,"",0,"normal",13.61,20,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Lateral Raise (Dumbbell)",,"",1,"normal",13.61,16,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Lateral Raise (Dumbbell)",,"",2,"normal",13.61,13,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Chest Fly (Machine)",,"",0,"normal",38.56,15,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Chest Fly (Machine)",,"",1,"normal",38.56,12,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Chest Fly (Machine)",,"",2,"normal",38.56,9,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Triceps Rope Pushdown",,"",0,"normal",29.48,12,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Triceps Rope Pushdown",,"",1,"normal",29.48,10,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Triceps Rope Pushdown",,"",2,"normal",29.48,9,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Cable Crunch",,"",0,"normal",47.63,20,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Cable Crunch",,"",1,"normal",47.63,20,,,
"Push (2026)","15 Mar 2026, 11:27","15 Mar 2026, 12:44","","Cable Crunch",,"",2,"normal",47.63,20,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Incline Bench Press (Dumbbell)",,"",0,"normal",36.29,10,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Incline Bench Press (Dumbbell)",,"",1,"normal",36.29,8,,,
